"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://www.georgefox.edu/","text/html","200","OK","Indexable","","George Fox University | Christian College near Portland, Oregon","63","571","","0","0","Ranked among the top Christian colleges in America by Forbes. Be Known at George Fox University – personally, academically, and spiritually.","140","903","","0","","0","","0","Be Known at Oregon's nationally recognized Christian university","63","Be Known at Oregon’s Nationally Recognized Christian University","63","","","","https://www.georgefox.edu/","","","","","117342","424","3.021","0","","8427","4222","85.880","67","51","16","15","","","","","9b4c36735bc0bd1da534c5b53be9b929","0.037","Thu, 01 Oct 2020 15:16:55 GMT","","","https://www.georgefox.edu/"
"https://www.georgefox.edu/adult-degree/prospective/request-info.html","text/html","200","OK","Indexable","","Request Information | Adult Degree Programs | George Fox University","67","623","","0","0","George Fox University offers night and weekend classes for adults in the Portland area who want to finish their degrees.","120","758","","0","Request Information","19","","0","","0","","0","","","","https://www.georgefox.edu/adult-degree/prospective/request-info.html","","","","","98545","33","1.451","1","","1274","1253","25.490","58","48","11","11","","","","","293dc73b252f17f61b1128a69e0f3b97","0.166","Fri, 25 Sep 2020 19:02:44 GMT","","","https://www.georgefox.edu/adult-degree/prospective/request-info.html"
"https://www.georgefox.edu/business/index.html","text/html","200","OK","Indexable","","Business School in Oregon | George Fox University","49","456","","0","0","George Fox University's College of Business offers a part-time MBA, a one-year full-time MBA, and a Doctor of Business Administration (DBA).","140","900","","0","College of Business","19","","0","Part-Time MBA in Portland","25","One-Year MBA","12","","","","https://www.georgefox.edu/business/index.html","","","","","116446","124","1.698","1","","4513","4309","87.650","77","59","11","11","","","","","f1f7f7f9d54ff4c6c0c3827fc85af3b4","0.165","Mon, 07 Sep 2020 20:11:12 GMT","","","https://www.georgefox.edu/business/index.html"
"https://www.georgefox.edu/college-admissions/scholarships/index.html","text/html","200","OK","Indexable","","Undergrad Tuition, Scholarships & Financial Aid | George Fox University","71","637","","0","0","College scholarships and financial aid are available for students attending George Fox University.","98","615","","0","Tuition & Financial Aid 101","27","","0","You can afford a George Fox education","37","What you’ll get for your investment","35","","","","https://www.georgefox.edu/college-admissions/scholarships/index.html","","","","","127915","1082","6.273","1","","4496","4307","87.610","85","51","17","17","","","","","6588aeddfe12c2b6fb41979d78ead89f","0.166","Wed, 26 Aug 2020 23:28:57 GMT","","","https://www.georgefox.edu/college-admissions/scholarships/index.html"
"https://www.georgefox.edu/college-admissions/campus-life/arts-music.html","text/html","200","OK","Indexable","","Performing Arts | Christian College in Oregon | George Fox","58","524","","0","0","Play an instrument, sing or perform on stage at George Fox University, a Christian college in Oregon.","101","640","","0","Performing Arts and Music","25","","0","Music","5","Theatre","7","","","","https://www.georgefox.edu/college-admissions/campus-life/arts-music.html","","","","","116026","498","4.030","1","","13","10","0.200","82","57","11","11","","","","","3e63a6572abe4dc1ceb415b30256e07e","0.033","Wed, 26 Aug 2020 23:28:49 GMT","","","https://www.georgefox.edu/college-admissions/campus-life/arts-music.html"
"https://www.georgefox.edu/bruin-blog/index.html","text/html; charset=UTF-8","200","OK","Indexable","","Bruin Blog | George Fox University","34","307","","0","0","","0","0","","0","Bruin Blog","10","","0","Featured Posts","14","Recent Posts","12","","","","https://www.georgefox.edu/bruin-blog/index.html","","","","","182019","460","2.053","1","","38","38","0.770","119","78","16","13","","","","","232dff0a54f98a580e6c77c933f09e5a","0.166","","","","https://www.georgefox.edu/bruin-blog/index.html"
"https://www.georgefox.edu/offices/hr/hiring.html","text/html","200","OK","Indexable","","Jobs at George Fox University, a Christian college in Oregon","60","539","","0","0","","0","0","","0","Jobs at George Fox","18","","0","Recommended Reading","19","Applying for a Job","18","","","","https://www.georgefox.edu/offices/hr/hiring.html","","","","","108063","784","5.364","1","","4394","4306","87.590","57","48","23","21","","","","","718fe1988951b072dd2b527bb1cac5d0","0.040","Sat, 02 May 2020 02:34:40 GMT","","","https://www.georgefox.edu/offices/hr/hiring.html"
"https://www.georgefox.edu/admission/index.html","text/html","200","OK","Indexable","","Admissions | George Fox University","34","317","","0","0","Admissions information for undergraduate, graduate and adult degree programs at George Fox University, a Christian college in Oregon.","133","866","","0","Admissions at George Fox","24","","0","Undergraduate","13","Undergraduate","13","","","","https://www.georgefox.edu/admission/index.html","","","","","103115","305","2.778","1","","8626","4306","87.590","100","67","12","12","","","","","e99eca71b589f4354c584d1369380a85","0.032","Thu, 08 Oct 2020 22:08:00 GMT","","","https://www.georgefox.edu/admission/index.html"
"https://www.georgefox.edu/adult-degree/index.html","text/html","200","OK","Indexable","","Adult Bachelor's Degree Programs | Online & Oregon | George Fox","63","596","","0","0","George Fox University offers accelerated bachelor's degrees for working adults online and in Oregon that can be completed in as little as 16 months.","148","940","","0","Adult Degree Programs","21","","0","One of the Best Online Bachelor's Programs","42","Designed for Working Adults","27","","","","https://www.georgefox.edu/adult-degree/index.html","","","","","106775","503","4.203","1","","4470","4307","87.610","75","55","11","11","","","","","578dd20dcb966e73c770169e16a9c44d","0.050","Thu, 08 Oct 2020 22:04:45 GMT","","","https://www.georgefox.edu/adult-degree/index.html"
"https://www.georgefox.edu/college-admissions/campus-life/athletics.html","text/html","200","OK","Indexable","","Athletics | Christian College Sports | George Fox University","60","522","","0","0","Play for an intercollegiate team or intramurals at George Fox, a Christian college in Oregon.","93","580","","0","Athletics","9","","0","21 Varsity Sports","17","How we think about collegiate athletics","39","","","","https://www.georgefox.edu/college-admissions/campus-life/athletics.html","","","","","126071","353","2.768","1","","16","12","0.240","80","55","34","31","","","","","6f45836e8e6ec4c62bd39a412976a361","0.038","Wed, 26 Aug 2020 23:28:47 GMT","","","https://www.georgefox.edu/college-admissions/campus-life/athletics.html"
